Cluster;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
NIP;GO:0006457;protein folding;14/183;233/18862;6.70E-08;8.15E-05;7.60E-05;BAG1/BAG2/CCT8L2/CHCHD4/CLGN/DNAJB11/HSPA1A/HSPA2/HSPA5/HSPA8/PPIE/PTGES3/RIC3/RP2;14
NIP;GO:0090150;establishment of protein localization to membrane;17/183;354/18862;6.80E-08;8.15E-05;7.60E-05;CALM1/CHM/GDI1/HSPA5/RPL17/RPS6/SLC1A1/SRP14/SRP68/SRP9/VPS37D/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ/ZDHHC12;17
NIP;GO:0051084;'de novo' posttranslational protein folding;7/183;39/18862;8.54E-08;8.15E-05;7.60E-05;BAG1/CHCHD4/HSPA1A/HSPA2/HSPA5/HSPA8/PTGES3;7
NIP;GO:0006458;'de novo' protein folding;7/183;43/18862;1.73E-07;0.000123924;0.000115644;BAG1/CHCHD4/HSPA1A/HSPA2/HSPA5/HSPA8/PTGES3;7
NIP;GO:0051085;chaperone cofactor-dependent protein refolding;6/183;34/18862;8.24E-07;0.00047227;0.000440713;BAG1/HSPA1A/HSPA2/HSPA5/HSPA8/PTGES3;6
NIP;GO:0021762;substantia nigra development;6/183;43/18862;3.48E-06;0.001443944;0.001347462;CALM1/DYNLL1/HSPA5/INA/YWHAH/YWHAQ;6
NIP;GO:1901028;regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway;6/183;44/18862;3.99E-06;0.001443944;0.001347462;HSPA1A/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;6
NIP;GO:1900739;regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;5/183;26/18862;4.54E-06;0.001443944;0.001347462;YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;5
NIP;GO:1900740;positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;5/183;26/18862;4.54E-06;0.001443944;0.001347462;YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;5
NIP;GO:0006605;protein targeting;16/183;441/18862;6.59E-06;0.001826706;0.001704649;CHCHD4/CHM/GDI1/HSPA5/HSPA8/RPL17/RPS6/SLC1A1/SRP14/SRP68/SRP9/VPS37D/YWHAB/YWHAG/YWHAQ/ZDHHC12;16
NIP;GO:0006612;protein targeting to membrane;11/183;211/18862;7.02E-06;0.001826706;0.001704649;CHM/GDI1/HSPA5/RPL17/RPS6/SLC1A1/SRP14/SRP68/SRP9/VPS37D/ZDHHC12;11
NIP;GO:0001844;protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;5/183;30/18862;9.53E-06;0.002273471;0.002121561;YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;5
NIP;GO:0090151;establishment of protein localization to mitochondrial membrane;6/183;53/18862;1.21E-05;0.002661378;0.002483549;CALM1/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;6
NIP;GO:0097345;mitochondrial outer membrane permeabilization;6/183;55/18862;1.50E-05;0.003070913;0.002865719;HSPA1A/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;6
NIP;GO:0030901;midbrain development;7/183;86/18862;2.03E-05;0.003734622;0.00348508;CALM1/DYNLL1/HSPA5/INA/WNT5A/YWHAH/YWHAQ;7
NIP;GO:1901030;positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway;5/183;35/18862;2.09E-05;0.003734622;0.00348508;YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;5
NIP;GO:0048857;neural nucleus development;6/183;60/18862;2.49E-05;0.003962586;0.003697812;CALM1/DYNLL1/HSPA5/INA/YWHAH/YWHAQ;6
NIP;GO:1902110;positive regulation of mitochondrial membrane permeability involved in apoptotic process;6/183;60/18862;2.49E-05;0.003962586;0.003697812;HSPA1A/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;6
NIP;GO:1902686;mitochondrial outer membrane permeabilization involved in programmed cell death;6/183;62/18862;3.01E-05;0.0045363;0.00423319;HSPA1A/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;6
NIP;GO:0061077;chaperone-mediated protein folding;6/183;63/18862;3.30E-05;0.004725072;0.004409349;BAG1/HSPA1A/HSPA2/HSPA5/HSPA8/PTGES3;6
NIP;GO:0035794;positive regulation of mitochondrial membrane permeability;6/183;64/18862;3.61E-05;0.004925938;0.004596794;HSPA1A/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;6
NIP;GO:1902108;regulation of mitochondrial membrane permeability involved in apoptotic process;6/183;66/18862;4.31E-05;0.005607597;0.005232906;HSPA1A/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;6
NIP;GO:1905710;positive regulation of membrane permeability;6/183;69/18862;5.55E-05;0.006908789;0.006447154;HSPA1A/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;6
NIP;GO:0042026;protein refolding;4/183;23/18862;6.57E-05;0.007842792;0.007318748;HSPA1A/HSPA2/HSPA5/HSPA8;4
NIP;GO:0043312;neutrophil degranulation;15/183;485/18862;8.07E-05;0.009242654;0.008625073;ATP6V1D/C3AR1/CEACAM8/ADA2/DEFA1/DYNLL1/FGL2/FTL/GDI2/HSPA1A/HSPA8/IMPDH1/PPIE/S100P/SRP14;15
NIP;GO:0002283;neutrophil activation involved in immune response;15/183;488/18862;8.64E-05;0.009421787;0.008792236;ATP6V1D/C3AR1/CEACAM8/ADA2/DEFA1/DYNLL1/FGL2/FTL/GDI2/HSPA1A/HSPA8/IMPDH1/PPIE/S100P/SRP14;15
NIP;GO:0046902;regulation of mitochondrial membrane permeability;6/183;75/18862;8.88E-05;0.009421787;0.008792236;HSPA1A/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;6
NIP;GO:0051204;protein insertion into mitochondrial membrane;5/183;48/18862;9.94E-05;0.010165179;0.009485956;YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;5
NIP;GO:0002446;neutrophil mediated immunity;15/183;499/18862;0.000110573;0.010791315;0.010070255;ATP6V1D/C3AR1/CEACAM8/ADA2/DEFA1/DYNLL1/FGL2/FTL/GDI2/HSPA1A/HSPA8/IMPDH1/PPIE/S100P/SRP14;15
NIP;GO:0042119;neutrophil activation;15/183;500/18862;0.000113038;0.010791315;0.010070255;ATP6V1D/C3AR1/CEACAM8/ADA2/DEFA1/DYNLL1/FGL2/FTL/GDI2/HSPA1A/HSPA8/IMPDH1/PPIE/S100P/SRP14;15
NIP;GO:1905475;regulation of protein localization to membrane;9/183;194/18862;0.000119417;0.011032609;0.010295425;GDI1/PLS1/SLC1A1/TMEM59/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;9
NIP;GO:0051480;regulation of cytosolic calcium ion concentration;12/183;344/18862;0.000140361;0.012562323;0.011722926;APLNR/ATP2B2/C3AR1/CALM1/CCL3/GOT1/GPR17/JPH4/NPTN/PDGFRA/RIC3/WNT5A;12
NIP;GO:0008637;apoptotic mitochondrial changes;7/183;118/18862;0.000153722;0.013341244;0.012449801;ATP2A1/HSPA1A/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;7
NIP;GO:0090559;regulation of membrane permeability;6/183;90/18862;0.000243603;0.02012356;0.018778932;HSPA1A/YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;6
NIP;GO:1903749;positive regulation of establishment of protein localization to mitochondrion;5/183;58/18862;0.000245923;0.02012356;0.018778932;YWHAB/YWHAG/YWHAH/YWHAQ/YWHAZ;5
NIP;GO:0072503;cellular divalent inorganic cation homeostasis;14/183;480/18862;0.000255844;0.020353835;0.01899382;APLNR/ATP2A1/ATP2B2/C3AR1/CALM1/CCL3/GOT1/GPR17/JPH4/NPTN/PDGFRA/RIC3/SLC1A1/WNT5A;14
NIP;GO:0072507;divalent inorganic cation homeostasis;14/183;499/18862;0.000378326;0.029284446;0.027327701;APLNR/ATP2A1/ATP2B2/C3AR1/CALM1/CCL3/GOT1/GPR17/JPH4/NPTN/PDGFRA/RIC3/SLC1A1/WNT5A;14
NIP;GO:0006874;cellular calcium ion homeostasis;13/183;442/18862;0.000392842;0.02960789;0.027629533;APLNR/ATP2A1/ATP2B2/C3AR1/CALM1/CCL3/GOT1/GPR17/JPH4/NPTN/PDGFRA/RIC3/WNT5A;13
NIP;GO:1901021;positive regulation of calcium ion transmembrane transporter activity;4/183;37/18862;0.000440909;0.032378546;0.030215057;ATP2A1/CALM1/HSPA2/KCNE3;4
NIP;GO:0006986;response to unfolded protein;8/183;185/18862;0.000457379;0.032748307;0.030560111;CLGN/DNAJB11/FBXO6/HSPA1A/HSPA2/HSPA5/HSPA8/LMNA;8
